alg  instance      rep time    iterations  value      
PM   p7000-1       9   32.66   2092        461532     
PM   p7000-1       10  4.05    294         391126     
0.50 p7000-2       1   79.24   4035        18073497   
0.50 p7000-2       2   79.09   4071        18081910   
0.50 p7000-2       3   80.05   3921        18026572   
0.50 p7000-2       4   86.61   4122        18101115   
0.50 p7000-2       5   82.18   3940        18064744   
0.50 p7000-2       6   83.48   4028        18106942   
0.50 p7000-2       7   74.12   3863        18036161   
0.50 p7000-2       8   113.39  3900        18056059   
0.50 p7000-2       9   109.74  3951        18052743   
0.50 p7000-2       10  123.10  4147        18097087   
MM   p7000-2       1   118.67  4085        18084244   
MM   p7000-2       2   118.78  4156        18114740   
MM   p7000-2       3   115.38  3946        18064263   
MM   p7000-2       4   120.00  4282        18096974   
MM   p7000-2       5   114.64  4115        18120262   
MM   p7000-2       6   108.11  4026        18091991   
MM   p7000-2       7   121.95  4232        18058431   
MM   p7000-2       8   96.96   3795        18033829   
MM   p7000-2       9   102.41  4001        18111934   
MM   p7000-2       10  102.05  4069        18072204   
PM   p7000-2       1   71.34   3198        376664     
PM   p7000-2       2   287.25  12799       621565     
PM   p7000-2       3   9.85    485         575708     
PM   p7000-2       4   56.88   2610        408029     
PM   p7000-2       5   131.90  6101        503449     
PM   p7000-2       6   202.72  10114       715517     
PM   p7000-2       7   124.71  6002        195450     
PM   p7000-2       8   32.86   1771        578399     
PM   p7000-2       9   241.87  20330       283825     
PM   p7000-2       10  221.00  29282       639685     
