instance      b1  b2  rep value     t       it        
bqp100-1      14  6   29  -7970     31.78   61560     
bqp100-1      14  6   30  -7970     31.02   59212     
bqp100-1      16  4   1   -7904     25.58   54304     
bqp100-1      16  4   2   -7928     23.49   55854     
bqp100-1      16  4   3   -7928     24.15   55236     
bqp100-1      16  4   4   -7898     25.82   56936     
bqp100-1      16  4   5   -7904     20.19   47794     
bqp100-1      16  4   6   -7811     22.16   51440     
bqp100-1      16  4   7   -7918     28.61   55555     
bqp100-1      16  4   8   -7904     24.55   47478     
bqp100-1      16  4   9   -7904     15.77   40592     
bqp100-1      16  4   10  -7904     16.83   43408     
bqp100-1      16  4   11  -7928     24.64   50766     
bqp100-1      16  4   12  -7928     20.38   47919     
bqp100-1      16  4   13  -7896     25.56   50350     
bqp100-1      16  4   14  -7928     23.27   56706     
bqp100-1      16  4   15  -7928     23.11   52666     
bqp100-1      16  4   16  -7970     21.08   42064     
bqp100-1      16  4   17  -7970     23.99   50507     
bqp100-1      16  4   18  -7928     30.70   67390     
bqp100-1      16  4   19  -7928     22.64   47850     
bqp100-1      16  4   20  -7970     28.80   60121     
bqp100-1      16  4   21  -7904     24.63   52987     
bqp100-1      16  4   22  -7918     26.63   53728     
bqp100-1      16  4   23  -7970     27.04   48806     
bqp100-1      16  4   24  -7918     29.25   62770     
bqp100-1      16  4   25  -7890     29.35   55039     
bqp100-1      16  4   26  -7928     16.98   44847     
bqp100-1      16  4   27  -7872     22.95   51879     
bqp100-1      16  4   28  -7928     28.02   53985     
bqp100-1      16  4   29  -7942     24.56   52619     
bqp100-1      16  4   30  -7970     29.30   54212     
bqp100-1      18  2   1   -7942     18.35   34453     
bqp100-1      18  2   2   -7884     12.84   32500     
bqp100-1      18  2   3   -7848     11.34   23835     
bqp100-1      18  2   4   -7890     17.33   32817     
bqp100-1      18  2   5   -7928     11.34   24160     
bqp100-1      18  2   6   -7884     17.04   39514     
bqp100-1      18  2   7   -7928     14.93   31447     
bqp100-1      18  2   8   -7904     16.10   33018     
bqp100-1      18  2   9   -7970     14.14   29864     
bqp100-1      18  2   10  -7840     13.37   28671     
bqp100-1      18  2   11  -7898     12.02   28029     
bqp100-1      18  2   12  -7898     11.64   30721     
bqp100-1      18  2   13  -7970     17.10   36723     
bqp100-1      18  2   14  -7884     12.82   28438     
bqp100-1      18  2   15  -7898     16.32   29390     
